epoch,step,test_acc,test_loss,train_loss,valid_acc,valid_loss
0,49,,,1.6881157159805298,,
0,99,,,0.9624813199043274,,
0,149,,,0.5474356412887573,,
0,199,,,0.39319267868995667,,
0,249,,,0.33834949135780334,,
0,299,,,0.32180821895599365,,
0,349,,,0.5051778554916382,,
0,399,,,0.29550260305404663,,
0,449,,,0.338639497756958,,
0,499,,,0.3847166895866394,,
0,549,,,0.4217384457588196,,
0,599,,,0.26115652918815613,,
0,649,,,0.24993786215782166,,
0,699,,,0.211325541138649,,
0,749,,,0.22049254179000854,,
0,799,,,0.20873890817165375,,
0,849,,,0.3438172936439514,,
0,859,,,,0.8382636904716492,0.2985934913158417
0,860,0.9040140509605408,0.2852899432182312,,,
